Industry,Topic,Domain,Employee_Size,Job_Level,iLead_Grade,Bombora_Score,Techno_Score,Intent_Signal,country
Managed-Services-Provider,Data Automation,cancentral.com,201 to 500,C-Level,A,68,10,B,Belgium
Managed-Services-Provider,Data Automation,hyatt.com,1001 to 5000,C-Level,A,68,10,B,Belize
Managed-Services-Provider,Data Automation,intellnet.net.uk,501 to 1000,C-Level,A,68,10,B,Benin
Managed-Services-Provider,Data Automation,leeschools.net,1001 to 5000,C-Level,A,68,10,B,Bermuda
Managed-Services-Provider,Data Automation,linxglobal.com,10001+,C-Level,A,68,10,B,Bhutan
Managed-Services-Provider,Data Automation,monarchknitting.co.uk,5001 to 10000,C-Level,A,68,10,B,Bolivia
Managed-Services-Provider,Data Automation,asrproperties.co.uk,1001 to 5000,C-Level,A,67,10,B,Bosnia And Herzegovina
Managed-Services-Provider,Data Automation,carnival.com,1001 to 5000,C-Level,A,67,10,B,Botswana
Managed-Services-Provider,Data Automation,empirical.com,11 to 50,C-Level,A,67,10,B,Bouvet Island
Managed-Services-Provider,Data Automation,navistar.com,5001 to 10000,C-Level,A,67,10,B,Brazil
Managed-Services-Provider,Data Automation,nzmpsa.co.za,501 to 1000,C-Level,A,67,10,B,British Indian Ocean Territory
Managed-Services-Provider,Data Automation,pwcreative.com,201 to 500,C-Level,A,67,10,B,British Virgin Islands
Managed-Services-Provider,Data Automation,tier1.com,201 to 500,C-Level,A,67,10,B,Brunei Darussalam
Managed-Services-Provider,Data Automation,walshgroup.com,1001 to 5000,C-Level,A,67,10,B,Bulgaria
Managed-Services-Provider,Data Automation,warnerbros.com,1001 to 5000,C-Level,A,67,10,B,Burkina Faso
Managed-Services-Provider,Data Automation,tela.com,1001 to 5000,C-Level,A,66,10,B,Burundi
Managed-Services-Provider,Data Automation,appdynamics.com,10001+,C-Level,A,66,10,B,Cambodia
Managed-Services-Provider,Data Automation,cbdnine.com,201 to 500,C-Level,A,66,10,B,Cameroon
Managed-Services-Provider,Data Automation,contracttradingservices.co.uk,201 to 500,C-Level,A,66,10,B,Canada
Managed-Services-Provider,Data Automation,tjllp.com,1001 to 5000,C-Level,A,66,10,B,Cape Verde
Managed-Services-Provider,Data Automation,bayer.com,1001 to 5000,C-Level,A,65,10,B,Cayman Islands
Managed-Services-Provider,Data Automation,it-collective.com,501 to 1000,C-Level,A,65,10,B,Central African Republic
Managed-Services-Provider,Data Automation,jamesandersonca.co.uk,201 to 500,C-Level,A,65,10,B,Chad
Managed-Services-Provider,Data Automation,leadertelecom.ru,1001 to 5000,C-Level,A,65,10,B,Chile
Managed-Services-Provider,Data Automation,rlam.co.uk,10001+,C-Level,A,64,10,B,China
Managed-Services-Provider,Data Automation,exn.co.uk,5001 to 10000,C-Level,A,64,10,B,Christmas Island
Managed-Services-Provider,Data Automation,tcd.ie,1001 to 5000,C-Level,A,64,10,B,Cocos Islands
Managed-Services-Provider,Data Automation,markguest.co.uk,1001 to 5000,C-Level,A,64,10,B,Colombia
Managed-Services-Provider,Data Automation,farnfields.com,5001 to 10000,C-Level,A,64,10,B,Comoras
Managed-Services-Provider,Data Automation,nikkei.co.jp,1001 to 5000,C-Level,A,64,10,B,Congo
Managed-Services-Provider,Data Automation,ti.com,1001 to 5000,C-Level,A,63,10,B,Cook Islands
Managed-Services-Provider,Data Automation,northlan.gov.uk,5001 to 10000,C-Level,A,63,10,B,Costa Rica
Managed-Services-Provider,Data Automation,bootsit.com,1001 to 5000,C-Level,A,63,10,B,Cote D Ivoire
Managed-Services-Provider,Data Automation,idgglobalsolutions.com,501 to 1000,C-Level,A,63,10,B,Croatia
Managed-Services-Provider,Data Automation,mediaworks.co.uk,201 to 500,C-Level,A,63,10,B,Cuba
Managed-Services-Provider,Data Automation,metamorphicpr.co.uk,501 to 1000,C-Level,A,63,10,B,Cyprus
Managed-Services-Provider,Data Automation,myrepublic.net,10001+,C-Level,A,63,10,B,Czech Republic
Managed-Services-Provider,Data Automation,vailresorts.com,51 to 200,C-Level,A,63,10,B,Denmark
Managed-Services-Provider,Data Automation,wpp.com,501 to 1000,C-Level,A,63,10,B,Djibouti
Managed-Services-Provider,Data Automation,vigorouscommerceachievement.com,5001 to 10000,C-Level,A,62,10,B,Dominica
Managed-Services-Provider,Data Automation,worc.ac.uk,1001 to 5000,C-Level,A,62,10,B,Dominican Republic
Managed-Services-Provider,Data Automation,ogilvy.com,501 to 1000,C-Level,A,62,10,B,East Timor
Managed-Services-Provider,Data Automation,hajcloud.com,51 to 200,C-Level,A,62,10,B,Ecuador
Managed-Services-Provider,Data Automation,tphco.com,5001 to 10000,C-Level,A,62,10,B,Egypt
Managed-Services-Provider,Data Automation,hta.org.uk,201 to 500,C-Level,A,62,10,B,El Salvador
Managed-Services-Provider,Data Automation,intersystems.co.uk,201 to 500,C-Level,A,62,10,B,Equatorial Guinea
Managed-Services-Provider,Data Automation,raclement.co.uk,1001 to 5000,C-Level,A,62,10,B,Eritrea
Managed-Services-Provider,Data Automation,victoriahomecare.co.uk,201 to 500,C-Level,A,62,10,B,Estonia
Managed-Services-Provider,Data Automation,kw.com,51 to 200,C-Level,A,61,10,B,Ethiopia
Managed-Services-Provider,Data Automation,yesup.com,201 to 500,C-Level,A,61,10,B,European Union
Managed-Services-Provider,Data Automation,berkhamstedschool.org,201 to 500,C-Level,A,61,10,B,Falkland Islands
Managed-Services-Provider,Data Automation,datapacific.net,1001 to 5000,C-Level,A,61,10,B,Faroe Islands
Managed-Services-Provider,Data Automation,dhl.com,201 to 500,C-Level,A,61,10,B,Fiji
Managed-Services-Provider,Data Automation,dwamedia.com,201 to 500,C-Level,A,61,10,B,Finland
Managed-Services-Provider,Data Automation,edftrading.com,201 to 500,C-Level,A,61,10,B,France
Managed-Services-Provider,Data Automation,ntgfreight.com,10001+,C-Level,A,61,10,B,France Metropolitan
Managed-Services-Provider,Data Automation,theoutcastagency.com,1001 to 5000,V-Level,C,82,82,B,French Guiana
Managed-Services-Provider,Data Automation,bbdonow.com,10001+,V-Level,C,81,81,B,French Polynesia
Managed-Services-Provider,Data Automation,lancashire.gov.uk,1 to 10,V-Level,C,81,81,B,French Southern Territories
Managed-Services-Provider,Data Automation,topspec.com,1001 to 5000,V-Level,C,81,81,B,Gabon
Managed-Services-Provider,Data Automation,bradford.ac.uk,201 to 500,V-Level,C,80,80,B,Gambia
Managed-Services-Provider,Data Automation,rsm.ac.uk,201 to 500,V-Level,C,80,80,B,Georgia
Managed-Services-Provider,Data Automation,tunstall.com,51 to 200,V-Level,C,80,80,B,Germany
Managed-Services-Provider,Data Automation,bescl.co.uk,1001 to 5000,V-Level,C,80,80,B,Ghana
Managed-Services-Provider,Data Automation,ablecleaningandhygiene.com,51 to 200,V-Level,C,80,80,B,Gibraltar
Managed-Services-Provider,Data Automation,lndrecruitment.co.uk,51 to 200,V-Level,C,80,80,B,Greece
Managed-Services-Provider,Data Automation,sll.co.uk,11 to 50,V-Level,C,80,80,B,Greenland
Managed-Services-Provider,Data Automation,updata.net,11 to 50,V-Level,C,79,79,B,Grenada
Managed-Services-Provider,Data Automation,foxtonwren.net,11 to 50,V-Level,C,79,79,B,Guadeloupe
Managed-Services-Provider,Data Automation,hosteurope.de,51 to 200,V-Level,C,79,79,B,Guam
Managed-Services-Provider,Data Automation,port.ac.uk,1001 to 5000,V-Level,C,78,78,B,Guatemala
Managed-Services-Provider,Data Automation,robertcrooks.com,201 to 500,C-Level,A,60,10,C,Guernsey
Managed-Services-Provider,Data Automation,adamsons.co.uk,10001+,C-Level,A,60,10,C,Guinea
Managed-Services-Provider,Data Automation,bms.com,201 to 500,C-Level,A,60,10,C,Guinea-bissau
Managed-Services-Provider,Data Automation,cantor.com,201 to 500,C-Level,A,60,10,C,Guyana
Managed-Services-Provider,Data Automation,eliteim.co.uk,51 to 200,C-Level,A,60,10,C,Haiti
Managed-Services-Provider,Data Automation,euromonitor.com,51 to 200,C-Level,A,60,10,C,Heard & Mcdonald Island
Managed-Services-Provider,Data Automation,fasteads.com,51 to 200,C-Level,A,60,10,C,Honduras
Managed-Services-Provider,Data Automation,geodesys.com,10001+,C-Level,A,60,10,C,Hong Kong
Managed-Services-Provider,Data Automation,informatica.com,201 to 500,C-Level,A,60,10,C,Hungary
Managed-Services-Provider,Data Automation,italiaconti.co.uk,201 to 500,C-Level,A,60,10,C,Iceland
Managed-Services-Provider,Data Automation,jdpa.com,201 to 500,C-Level,A,60,10,C,India
Managed-Services-Provider,Data Automation,sony.com,1001 to 5000,C-Level,A,60,10,C,Indonesia
Managed-Services-Provider,Data Automation,theeastlondonhotel.com,51 to 200,C-Level,A,60,10,C,Iran
Managed-Services-Provider,Data Automation,streetwisepublications.co.uk,1001 to 5000,C-Level,A,0,1,C,Iraq
Managed-Services-Provider,Data Automation,teslamotors.com,10001+,C-Level,A,0,1,C,Ireland
Managed-Services-Provider,Data Automation,webbynumbers.co.uk,1001 to 5000,C-Level,A,0,1,C,Isle Of Man
Managed-Services-Provider,Data Automation,gamesys.co.uk,1001 to 5000,C-Level,A,0,1,C,Israel
Managed-Services-Provider,Data Automation,wood-stock.co.uk,10001+,C-Level,A,0,1,C,Italy
Managed-Services-Provider,Data Automation,apolloresearch.com,10001+,C-Level,A,0,1,C,Jamaica
Managed-Services-Provider,Data Automation,boltblue.com,5001 to 10000,C-Level,A,0,1,C,Japan
Managed-Services-Provider,Data Automation,schuh.co.uk,501 to 1000,C-Level,A,0,1,C,Jersey
Managed-Services-Provider,Data Automation,thegrandunion.com,5001 to 10000,C-Level,A,0,1,C,Jordan
Managed-Services-Provider,Data Automation,safenet-inc.com,5001 to 10000,C-Level,A,0,1,C,Kazakhstan
Managed-Services-Provider,Data Automation,cflbusiness.co.uk,1001 to 5000,C-Level,A,0,1,C,Kenya
Managed-Services-Provider,Data Automation,84-92-133-192-plus.com,51 to 200,C-Level,A,0,1,C,Kiribati
Managed-Services-Provider,Data Automation,axesat.com,501 to 1000,C-Level,A,0,1,C,"Korea, Dem. Peoples Rep Of"
Managed-Services-Provider,Data Automation,bainesjewitt.co.uk,10001+,C-Level,A,0,1,C,"Korea, Republic Of"
Managed-Services-Provider,Data Automation,bpp.com,5001 to 10000,C-Level,A,0,1,C,Kuwait
Managed-Services-Provider,Data Automation,bwrefrigeration.co.uk,1001 to 5000,C-Level,A,0,1,C,Kyrgyzstan
Managed-Services-Provider,Data Automation,cloudcelltechnologies.com,5001 to 10000,C-Level,A,0,1,C,Lao PDR
Managed-Services-Provider,Data Automation,compactcollections.com,10001+,C-Level,A,0,1,C,Latvia
Managed-Services-Provider,Data Automation,discovery.co.za,10001+,C-Level,A,0,1,C,Lebanon
Managed-Services-Provider,Data Automation,dyn-intl.com,10001+,C-Level,A,0,1,C,Lesotho
Managed-Services-Provider,Data Automation,e2biz.co.uk,10001+,C-Level,A,0,1,C,Liberia
Managed-Services-Provider,Data Automation,ecator.com,1001 to 5000,C-Level,A,0,1,C,Libyan Arab Jamahiriya
Managed-Services-Provider,Data Automation,encapsulite.co.uk,1001 to 5000,C-Level,A,0,1,C,Liechtenstein
Managed-Services-Provider,Data Automation,era.org.uk,1001 to 5000,C-Level,A,0,1,C,Lithuania
Managed-Services-Provider,Data Automation,fast-tsl.com,501 to 1000,C-Level,A,0,1,C,Luxembourg
Managed-Services-Provider,Data Automation,gaut.co.uk,10001+,C-Level,A,0,1,C,Macau
Managed-Services-Provider,Data Automation,hawthorn.biz,1001 to 5000,C-Level,A,0,1,C,Macedonia
Managed-Services-Provider,Data Automation,hostthenet.co.uk,5001 to 10000,C-Level,A,0,1,C,Madagascar
Managed-Services-Provider,Data Automation,irg.bm,201 to 500,C-Level,A,0,1,C,Malawi
Managed-Services-Provider,Data Automation,iwantscrapbook.net,10001+,C-Level,A,0,1,C,Malaysia
Managed-Services-Provider,Data Automation,karelia.ru,5001 to 10000,C-Level,A,0,1,C,Maldives
Managed-Services-Provider,Data Automation,leedstrinity.ac.uk,1001 to 5000,C-Level,A,0,1,C,Mali
Managed-Services-Provider,Data Automation,londonambulance.nhs.uk,10001+,C-Level,A,0,1,C,Malta
Managed-Services-Provider,Data Automation,lv.com,10001+,C-Level,A,0,1,C,Marshall Islands
Managed-Services-Provider,Data Automation,lynden.com,10001+,C-Level,A,0,1,C,Martinique
Managed-Services-Provider,Data Automation,metric-scaffolding.co.uk,5001 to 10000,C-Level,A,0,1,C,Mauritania
Managed-Services-Provider,Data Automation,nodnsyet.co.uk,1001 to 5000,C-Level,A,0,1,C,Mauritius
Managed-Services-Provider,Data Automation,norfolk.gov.uk,1001 to 5000,C-Level,A,0,1,C,Mayotte
Managed-Services-Provider,Data Automation,plusagency.co.uk,1001 to 5000,C-Level,A,0,1,C,Mexico
Managed-Services-Provider,Data Automation,realsrl.it,501 to 1000,C-Level,A,0,1,C,Micronesia
Managed-Services-Provider,Data Automation,reteivo.net,1001 to 5000,C-Level,A,0,1,C,Moldava Republic Of
Managed-Services-Provider,Data Automation,schindler.com,501 to 1000,C-Level,A,0,1,C,Monaco
Managed-Services-Provider,Data Automation,spglobal.com,501 to 1000,C-Level,A,0,1,C,Mongolia
Managed-Services-Provider,Data Automation,tcc-net.com,201 to 500,C-Level,A,0,1,C,Montenegro
Managed-Services-Provider,Data Automation,telme.com,1001 to 5000,C-Level,A,0,1,C,Montserrat
Managed-Services-Provider,Data Automation,xicon.com,1001 to 5000,C-Level,A,0,1,C,Morocco
Managed-Services-Provider,Data Automation,zsc-pbt-tnle-1f2.nhs.uk,51 to 200,C-Level,A,0,1,C,Mozambique
Managed-Services-Provider,Data Automation,childcareaware.org,1001 to 5000,C-Level,A,0,1,C,Myanmar
Managed-Services-Provider,Data Automation,softek.co.uk,5001 to 10000,C-Level,A,0,1,C,Namibia
Managed-Services-Provider,Data Automation,3ds.com,10001+,C-Level,A,0,1,C,Nauru
Managed-Services-Provider,Data Automation,amaris.com,1 to 10,C-Level,A,0,1,C,Nepal
Managed-Services-Provider,Data Automation,arvsolutions.co.uk,51 to 200,C-Level,A,0,1,C,Netherlands
Managed-Services-Provider,Data Automation,ashridge.org.uk,501 to 1000,C-Level,A,0,1,C,Netherlands Antilles
Managed-Services-Provider,Data Automation,astuteip.com,501 to 1000,C-Level,A,0,1,C,New Caledonia
Managed-Services-Provider,Data Automation,axis-solutions.co.uk,1001 to 5000,C-Level,A,0,1,C,New Zealand
Managed-Services-Provider,Data Automation,bnl.gov,10001+,C-Level,A,0,1,C,Nicaragua
Managed-Services-Provider,Data Automation,brampton.net,1001 to 5000,C-Level,A,0,1,C,Niger
Managed-Services-Provider,Data Automation,burohappold.com,501 to 1000,C-Level,A,0,1,C,Nigeria
Managed-Services-Provider,Data Automation,businesstechnologies.ltd.uk,1001 to 5000,C-Level,A,0,1,C,Niue
Managed-Services-Provider,Data Automation,camberleydentalpractice.co.uk,1001 to 5000,C-Level,A,0,1,C,Norfolk Island
Managed-Services-Provider,Data Automation,cancommunicate.com,5001 to 10000,C-Level,A,0,1,C,Northern Mariana Islands
Managed-Services-Provider,Data Automation,ccusd.org,501 to 1000,C-Level,A,0,1,C,Norway
Managed-Services-Provider,Data Automation,cognizant.com,1001 to 5000,C-Level,A,0,1,C,Oman
Managed-Services-Provider,Data Automation,cornwalliselt.com,501 to 1000,C-Level,A,0,1,C,Pakistan
Managed-Services-Provider,Data Automation,devro.com,10001+,C-Level,A,0,1,C,Palau
Managed-Services-Provider,Data Automation,ensignlab.com.au,10001+,C-Level,A,0,1,C,Palestine
Managed-Services-Provider,Data Automation,fdg.pt,10001+,C-Level,A,0,1,C,Panama
Managed-Services-Provider,Data Automation,firstchoice.org.uk,10001+,C-Level,A,0,1,C,Papua New Guinea
Managed-Services-Provider,Data Automation,gakacc.co.uk,501 to 1000,C-Level,A,0,1,C,Paraguay
Managed-Services-Provider,Data Automation,garbuio.com,501 to 1000,C-Level,A,0,1,C,Peru
Managed-Services-Provider,Data Automation,greenandbenz.com,1001 to 5000,C-Level,A,0,1,C,Philippines
Managed-Services-Provider,Data Automation,ifxmarkets.com,501 to 1000,C-Level,A,0,1,C,Pitcairn
Managed-Services-Provider,Data Automation,iomtt.com,501 to 1000,C-Level,A,0,1,C,Poland
Managed-Services-Provider,Data Automation,issworld.com,10001+,C-Level,A,0,1,C,Portugal
Managed-Services-Provider,Data Automation,mcgeoch.com,5001 to 10000,C-Level,A,0,1,C,Puerto Rico
Managed-Services-Provider,Data Automation,metstudio.com,5001 to 10000,C-Level,A,0,1,C,Qatar
Managed-Services-Provider,Data Automation,netsparts.com,51 to 200,C-Level,A,0,1,C,Reunion
Managed-Services-Provider,Data Automation,nita.go.ug,10001+,C-Level,A,0,1,C,Romania
Managed-Services-Provider,Data Automation,people-1st.co.uk,10001+,C-Level,A,0,1,C,Russia
Managed-Services-Provider,Data Automation,pettywood.co.uk,1001 to 5000,C-Level,A,0,1,C,Rwanda
Managed-Services-Provider,Data Automation,pneusol.co.uk,1001 to 5000,C-Level,A,0,1,C,Saint Kitts And Nevis
Managed-Services-Provider,Data Automation,quintadolorde.pt,1001 to 5000,C-Level,A,0,1,C,Saint Lucia
Managed-Services-Provider,Data Automation,rutlandhotel-sheffield.com,51 to 200,C-Level,A,0,1,C,Saint Vincent And The Grenadines
Managed-Services-Provider,Data Automation,s-cubed.co.uk,201 to 500,C-Level,A,0,1,C,Samoa
Managed-Services-Provider,Data Automation,suttonmcgrathhartley.co.uk,51 to 200,C-Level,A,0,1,C,San Marino
Managed-Services-Provider,Data Automation,swsbroadband.net,1001 to 5000,C-Level,A,0,1,C,Sao Tome And Principe
Managed-Services-Provider,Data Automation,systems-express.com,5001 to 10000,C-Level,A,0,1,C,Saudi Arabia
Managed-Services-Provider,Data Automation,telcoswitch.net,1001 to 5000,C-Level,A,0,1,C,Scotland
Managed-Services-Provider,Data Automation,thesavemartcompanies.com,201 to 500,C-Level,A,0,1,C,Senegal
Managed-Services-Provider,Data Automation,thirdnode.net,1001 to 5000,C-Level,A,0,1,C,Serbia
Managed-Services-Provider,Data Automation,transport-for-greater-manchester.com,10001+,C-Level,A,0,1,C,Seychelles
Managed-Services-Provider,Data Automation,uih.co.th,10001+,C-Level,A,0,1,C,Sierra Leone
Managed-Services-Provider,Data Automation,vorwerk.co.uk,201 to 500,C-Level,A,0,1,C,Singapore
Managed-Services-Provider,Data Automation,webber.net.ua,1001 to 5000,C-Level,A,0,1,C,Slovakia
Managed-Services-Provider,Data Automation,wessexinternet.com,1001 to 5000,C-Level,A,0,1,C,Slovenia
Managed-Services-Provider,Data Automation,newsint.co.uk,10001+,C-Level,A,0,1,C,Solomon Islands
Managed-Services-Provider,Data Automation,netapp.com,1001 to 5000,C-Level,A,0,1,C,Somalia
Managed-Services-Provider,Data Automation,danone.com,5001 to 10000,C-Level,A,0,1,C,South Africa
Managed-Services-Provider,Data Automation,treysgawen-hall.co.uk,1001 to 5000,C-Level,A,0,1,C,South Georgia And The South Sandwich Islands
Managed-Services-Provider,Data Automation,kingston.ac.uk,201 to 500,C-Level,A,0,1,C,Soviet Union
Managed-Services-Provider,Data Automation,specialpipingmaterials.co.uk,5001 to 10000,C-Level,A,0,1,C,Spain
Managed-Services-Provider,Data Automation,a2ztelecom.es,501 to 1000,C-Level,A,0,1,C,Sri Lanka
Managed-Services-Provider,Data Automation,abb.com,10001+,C-Level,A,0,1,C,St. Helena
Managed-Services-Provider,Data Automation,az.gov,1001 to 5000,C-Level,A,0,1,C,St. Pierre And Miquelon
Managed-Services-Provider,Data Automation,christies.com,10001+,C-Level,A,0,1,C,Sudan
Managed-Services-Provider,Data Automation,cjbayliss.co.uk,10001+,C-Level,A,0,1,C,Suriname
Managed-Services-Provider,Data Automation,claridgecapital.com,5001 to 10000,C-Level,A,0,1,C,Svalbard And Jan Mayen
Managed-Services-Provider,Data Automation,clearswift.com,10001+,C-Level,A,0,1,C,Swaziland
Managed-Services-Provider,Data Automation,codex.online,201 to 500,C-Level,A,0,1,C,Sweden
Managed-Services-Provider,Data Automation,computeach.co.uk,10001+,C-Level,A,0,1,C,Switzerland
Managed-Services-Provider,Data Automation,cranebsu.com,5001 to 10000,C-Level,A,0,1,C,Syrian Arab Republic
Managed-Services-Provider,Data Automation,cscdn.co.uk,1001 to 5000,C-Level,A,0,1,C,Taiwan
Managed-Services-Provider,Data Automation,cstv.com,51 to 200,C-Level,A,0,1,C,Tajikistan
Managed-Services-Provider,Data Automation,darbygroundworks.com,51 to 200,C-Level,A,0,1,C,"Tanzania, United Republic Of"
Managed-Services-Provider,Data Automation,dpdoorsandshutters.co.uk,1001 to 5000,C-Level,A,0,1,C,Thailand
Managed-Services-Provider,Data Automation,drumbeatcomms.co.uk,11 to 50,C-Level,A,0,1,C,Togo
Managed-Services-Provider,Data Automation,edera.cz,10001+,C-Level,A,0,1,C,Tokelau
Managed-Services-Provider,Data Automation,embacuba.cu,10001+,C-Level,A,0,1,C,Tonga
Managed-Services-Provider,Data Automation,gigazone.co.za,1001 to 5000,C-Level,A,0,1,C,Trinidad And Tobago
Managed-Services-Provider,Data Automation,glewdunn.co.uk,1001 to 5000,C-Level,A,0,1,C,Tunisia
Managed-Services-Provider,Data Automation,hexaware.com,5001 to 10000,C-Level,A,0,1,C,Turkey
Managed-Services-Provider,Data Automation,hoganlovells.com,1001 to 5000,C-Level,A,0,1,C,Turkmenistan
Managed-Services-Provider,Data Automation,hohlflex.ch,5001 to 10000,C-Level,A,0,1,C,Turks And Caicos Islands
Managed-Services-Provider,Data Automation,innw.net,1001 to 5000,C-Level,A,0,1,C,Tuvalu
Managed-Services-Provider,Data Automation,internalresults.com,1 to 10,C-Level,A,0,1,C,Uganda
Managed-Services-Provider,Data Automation,kewill.net,1001 to 5000,C-Level,A,0,1,C,Ukraine
Managed-Services-Provider,Data Automation,kirkleescollege.ac.uk,1001 to 5000,C-Level,A,0,1,C,United Arab Emirates
Managed-Services-Provider,Data Automation,lbl.gov,10001+,C-Level,A,0,1,C,United Kingdom
Managed-Services-Provider,Data Automation,machineworks.com,11 to 50,C-Level,A,0,1,C,United States
Managed-Services-Provider,Data Automation,mayurayoga.co.uk,11 to 50,C-Level,A,0,1,C,United States Minor Outlying Islands
Managed-Services-Provider,Data Automation,mbro.ac.uk,51 to 200,C-Level,A,0,1,C,Uruguay
Managed-Services-Provider,Data Automation,mdcc-fun.de,11 to 50,C-Level,A,0,1,C,Uzbekistan
Managed-Services-Provider,Data Automation,midasgroup.co.uk,1 to 10,C-Level,A,0,1,C,Vanuatu
Managed-Services-Provider,Data Automation,moneymattersinwidnes.co.uk,10001+,C-Level,A,0,1,C,Vatican City State
Managed-Services-Provider,Data Automation,nomensa.com,1001 to 5000,C-Level,A,0,1,C,Venezuela
Managed-Services-Provider,Data Automation,onecomm.bm,501 to 1000,C-Level,A,0,1,C,Viet Nam
Managed-Services-Provider,Data Automation,operationeurope.com,1001 to 5000,C-Level,A,0,1,C,Virgin Islands (u.s.)
Managed-Services-Provider,Data Automation,pfizer.com,10001+,C-Level,A,0,1,C,Wallis And Futuna Islands
Managed-Services-Provider,Data Automation,phillipsuk.com,201 to 500,C-Level,A,0,1,C,Western Sahara
Managed-Services-Provider,Data Automation,randomhouse.com,1 to 10,C-Level,A,0,1,C,Yemen
Managed-Services-Provider,Data Automation,reyrey.com,1001 to 5000,C-Level,A,0,1,C,Zambia
Managed-Services-Provider,Data Automation,rw74.com,1001 to 5000,C-Level,A,0,1,C,Zimbabwe
Managed-Services-Provider,Data Automation,skrill.com,501 to 1000,C-Level,A,0,1,C,Afghanistan
Managed-Services-Provider,Data Automation,sorion.co.uk,501 to 1000,C-Level,A,0,1,C,Aland Islands
Managed-Services-Provider,Data Automation,southampton.gov.uk,5001 to 10000,C-Level,A,0,1,C,Albania
Managed-Services-Provider,Data Automation,trentcollege.net,201 to 500,C-Level,A,0,1,C,Algeria
Managed-Services-Provider,Data Automation,updatesystemskelso.co.uk,1001 to 5000,C-Level,A,0,1,C,American Samoa
Managed-Services-Provider,Data Automation,virgin.com,1001 to 5000,C-Level,A,0,1,C,Andorra
Managed-Services-Provider,Data Automation,wekeepitrunning.net,501 to 1000,C-Level,A,0,1,C,Angola
Managed-Services-Provider,Data Automation,inty.net,201 to 500,C-Level,A,0,1,C,Anguilla
Managed-Services-Provider,Data Automation,dundee.ac.uk,10001+,C-Level,A,0,1,C,Antarctica
Managed-Services-Provider,Data Automation,purecloudsolutions.com,201 to 500,C-Level,A,0,1,C,Antigua And Barbuda
Managed-Services-Provider,Data Automation,silkpearce.com,1001 to 5000,C-Level,A,0,1,C,Argentina
Managed-Services-Provider,Data Automation,vostron.net,11 to 50,C-Level,A,0,1,C,Armenia
Managed-Services-Provider,Data Automation,zsc-pbt-tnle-1b2.nhs.uk,201 to 500,C-Level,A,0,1,C,Aruba
Managed-Services-Provider,Data Automation,aimes.net,201 to 500,C-Level,A,0,1,C,Ascension Island
Managed-Services-Provider,Data Automation,rkwltd.com,5001 to 10000,C-Level,A,0,1,C,Australia
Managed-Services-Provider,Data Automation,stratus-environmental.co.uk,10001+,C-Level,A,0,1,C,Austria
Managed-Services-Provider,Data Automation,trago.co.uk,1001 to 5000,C-Level,A,0,1,C,Azerbaijan
Managed-Services-Provider,Data Automation,com2com.com,1001 to 5000,C-Level,A,0,1,C,Bahamas
Managed-Services-Provider,Data Automation,peelports.co.uk,5001 to 10000,C-Level,A,0,1,C,Bahrain
